Lead	City	Current Category	Make	Model	Variant	Make Year	Fuel Type	Transmission Type	Mileage	Ownership	Procurement Price
15928651	Delhi	auction	Honda	City	V Diesel	2014	diesel	manual	168339	1	205500
21551516	Mumbai	auction	Honda	City	SV Diesel	2015	diesel	manual	84791	2	365000
25109378	Mumbai	budget	Maruti Suzuki	Ertiga	VXI AT	2016	petrol	automatic	60104	2	465000
10147304	Lucknow	auction	Volkswagen	Ameo	Comfortline 1.5L (D)	2018	diesel	manual	41730	2	440000
21359863	Chennai	assured	Kia	Seltos	HTX D	2022	diesel	manual	76096	1	1071000
21159955	Jaipur	assured	Maruti Suzuki	Baleno	Zeta 1.2 AT	2017	petrol	automatic	56173	1	440000
24961638	Mumbai	assured	Nissan	Magnite	XL	2021	petrol	manual	55588	1	370000
25022773	Chennai	assured	Honda	Amaze	1.2 VX i-VTEC	2015	petrol	manual	80043	1	330000
24855627	Delhi	assured	Hyundai	Venue	SX 1.2 Petrol	2023	petrol	manual	44454	1	695000
24935460	Lucknow	assured	MG Motors	Hector	Sharp 2.0 Diesel Turbo MT Dual Tone	2022	diesel	manual	74852	1	1006000
24770103	Lucknow	budget	Maruti Suzuki	Alto 800	LXi	2020	petrol	manual	21118	2	205000
24642021	Delhi	budget	Hyundai	Venue	SX 1.0 Turbo Petrol	2019	petrol	manual	81572	1	440000
24818430	Chennai	budget	Honda	City	SV	2016	petrol	manual	51629	1	410000
24843987	Hyderabad	assured	Hyundai	Alcazar	Platinum (O) 6 STR 1.5 Diesel AT	2021	diesel	automatic	67526	1	1245000
24652190	Delhi	assured	Maruti Suzuki	Wagon R	LXI	2015	petrol	manual	45338	1	174000
25010119	Chennai	budget	Maruti Suzuki	Celerio	ZXi AMT	2016	petrol	automatic	45908	1	350000
24645378	Bangalore	assured	Renault	Kwid	RXL	2016	petrol	manual	45907	2	195000
24657515	Hyderabad	assured	Maruti Suzuki	Baleno	Alpha 1.2	2017	petrol	manual	58989	1	435000
24724930	Visakhapatnam	assured	Maruti Suzuki	Alto 800	LXi	2018	petrol	manual	73107	2	185000
22396323	Chennai	assured	Mahindra	Thar	LX Hard Top Petrol MT 4WD	2022	petrol	manual	23386	1	1124000
22581374	Chandigarh	assured	Kia	Sonet	HTX Plus 1.0 iMT	2020	petrol	manual	53744	1	630000
25104731	Bangalore	assured	Hyundai	Elite i20	Magna 1.2	2016	petrol	manual	31359	1	430000
23445729	Jaipur	luxury	Jaguar	XE	Pure	2018	petrol	automatic	61046	2	1550000
23960078	Hyderabad	budget	Kia	Seltos	GTX Plus DCT 1.4	2020	petrol	automatic	90630	2	940000
24160121	Chennai	assured	Maruti Suzuki	Alto K10	VXI AMT (O)	2018	petrol	automatic	73151	1	260000
20997723	Pune	assured	Skoda	Superb	Style TDI AT	2019	diesel	automatic	63618	1	1441000
20410212	Hyderabad	assured	Toyota	Urban Cruiser Hyryder	G E-CNG	2023	petrol+cng	manual	8596	1	1395000
23932828	Delhi	assured	Hyundai	Grand i10 Nios	Sportz 1.2 Kappa VTVT	2023	petrol	manual	28535	1	500000
23832188	Hyderabad	budget	Maruti Suzuki	Swift	ZXi Plus AMT	2021	petrol	automatic	95587	1	565000
23958989	Chennai	budget	Maruti Suzuki	Alto 800	Lxi	2014	petrol	manual	101012	3	167000
22648847	Lucknow	assured	Maruti Suzuki	Ignis	Delta 1.2 MT	2021	petrol	manual	45347	1	410000
23156172	Lucknow	assured	Maruti Suzuki	Baleno	Alpha MT	2024	petrol	manual	26581	1	750000
19350481	Delhi	budget	Honda	City	VX CVT	2014	petrol	automatic	91711	1	384000
23200756	Visakhapatnam	budget	Tata	Nexon	XM Diesel	2018	diesel	manual	95821	1	500000
23017956	Ahmedabad	assured	Maruti Suzuki	Baleno	Zeta	2020	petrol	manual	50130	1	490000
23131071	Bangalore	assured	Nissan	Magnite	XV Turbo	2022	petrol	manual	34182	1	676000
23260884	Ahmedabad	budget	Kia	Seltos	HTX Plus AT 1.5 Diesel	2019	diesel	automatic	103016	1	945000
22895769	Mumbai	budget	Renault	Kwid	RXT (O) 1.0 SCE Edition	2018	petrol	manual	45180	3	157000
22805409	Pune	assured	Maruti Suzuki	Ciaz	Alpha 1.4 AT	2017	petrol	automatic	72392	1	520000
22420941	Coimbatore	auction	Honda	City	SV Petrol MT	2023	petrol	manual	8154	1	1
20078562	Kolkata	assured	Maruti Suzuki	Baleno	Alpha Petrol	2023	petrol	manual	18054	1	700000
20066449	Delhi	assured	Tata	Nexon	XM	2019	petrol	manual	63669	1	440000
21937637	Delhi	assured	Maruti Suzuki	Swift	LXI (O)	2015	petrol	manual	57584	1	245000
24265915	Mumbai	budget	Maruti Suzuki	Baleno	RS 1.0	2017	petrol	manual	48591	1	383000
11920311	Bangalore	auction	Mahindra	XUV 300	W8 AMT (O) Diesel	2019	diesel	automatic	70204	1	744000
24261307	Delhi	luxury	Jeep	Compass	Sport 1.4 Petrol	2018	petrol	manual	58292	1	655000
24567140	Coimbatore	budget	Hyundai	Grand i10	Asta 1.2 Kappa VTVT	2018	petrol	manual	106919	1	336000
24403506	Pune	budget	Tata	Tiago	Revotron XZ	2016	petrol	manual	44564	1	300000
24600243	Hyderabad	budget	Tata	Tiago	Wizz Edition Petrol	2018	petrol	manual	58810	1	301000
23905456	Hyderabad	assured	Maruti Suzuki	Baleno	Delta 1.2 AT	2016	petrol	automatic	29378	1	420000
23999592	Mumbai	budget	Tata	Tiago	XT	2022	petrol	manual	60996	1	358000
24130626	Delhi	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2018	petrol	manual	46885	1	315000
24175816	Visakhapatnam	assured	Toyota	Glanza	V	2021	petrol	manual	45225	1	545000
21549640	Lucknow	assured	Hyundai	Grand i10 Nios	Sportz AMT 1.2 Kappa VTVT	2023	petrol	automatic	24611	1	590000
24946448	Bangalore	assured	Tata	Nexon	XZA Plus Dual Tone Roof AMT Petrol	2018	petrol	automatic	31676	1	625000
23168856	Ahmedabad	assured	Skoda	Kushaq	Style 1.0L TSI AT	2021	petrol	automatic	18023	1	1000000
23248773	Bangalore	budget	Volkswagen	Vento	Highline Petrol	2013	petrol	manual	116818	1	315000
23091523	Hyderabad	budget	Tata	Altroz	XT i-Turbo Petrol	2021	petrol	manual	42772	2	520000
23282962	Lucknow	assured	Hyundai	Creta	S Plus 1.5 Petrol Knight	2023	petrol	manual	47480	1	955000
20981290	Delhi	assured	Honda	Amaze	VX MT 1.2 Petrol	2022	petrol	manual	26865	1	595000
20259305	Delhi	assured	Honda	Amaze	1.2 S i-VTEC	2015	petrol	manual	74064	1	240000
22375514	Jaipur	assured	Honda	City	VX CVT	2014	petrol	automatic	63494	1	400000
22820405	Hyderabad	assured	Ford	Figo Aspire	Titanium 1.5 Ti-VCT AT	2017	petrol	automatic	71019	1	366000
21283725	Pune	budget	Ford	Figo	Titanium1.5 TDCi	2019	diesel	manual	121883	1	371500
24565389	Bangalore	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2019	petrol	manual	3105	1	410000
24344130	Lucknow	assured	Maruti Suzuki	S-Cross	Zeta	2022	petrol	manual	26259	1	655000
24241802	Mumbai	budget	Volkswagen	Polo	Highline1.2L (P)	2012	petrol	manual	101130	2	161000
24306109	Pune	assured	Kia	Sonet	Anniversary Edition 1.0 iMT	2022	petrol	manual	4637	1	792000
24507369	Delhi	assured	Maruti Suzuki	Baleno	Delta 1.2	2019	petrol	manual	22219	1	390000
18017181	Delhi	budget	Maruti Suzuki	Ertiga	ZXi	2014	petrol	manual	102927	1	400000
24929078	Bangalore	assured	Honda	City	SV CVT	2014	petrol	automatic	89911	1	395000
24876963	Bangalore	assured	Maruti Suzuki	Celerio	VXi AMT	2014	petrol	automatic	60845	1	296000
24846222	Bangalore	budget	Maruti Suzuki	S-Cross	Delta 1.6	2015	diesel	manual	98449	1	430000
24865571	Chennai	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2018	petrol	manual	46792	1	345000
16463322	Kochi	budget	Tata	Tiago	Revotron XM	2019	petrol	manual	120304	1	305000
16464351	Ahmedabad	assured	Skoda	Kushaq	Style 1.5L TSI DSG	2021	petrol	automatic	55040	1	1048000
23229754	Pune	assured	Maruti Suzuki	Wagon R 1.0	VXI AMT	2016	petrol	automatic	56766	1	285000
23263411	Delhi	budget	Maruti Suzuki	Baleno	Alpha 1.2	2016	petrol	manual	72373	2	335000
22852966	Bangalore	assured	Hyundai	Creta	1.6L SX VTVT	2019	petrol	manual	58764	1	730000
23177180	Hyderabad	assured	Ford	Figo	Titanium 1.2 Ti-VCT MT	2019	petrol	manual	31224	2	370000
23303325	Kolkata	assured	Tata	Nexon	XZ Plus Diesel	2021	diesel	manual	69619	1	629000
23203097	Pune	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2017	petrol	manual	20369	1	310000
23786947	Delhi	assured	Honda	WR-V	VX MT Petrol	2018	petrol	manual	50277	1	430000
20106283	Lucknow	assured	Toyota	Innova Crysta	2.7 ZX AT 7 STR	2022	petrol	automatic	36181	1	1685000
19766783	Pune	assured	Toyota	Innova Crysta	2.4 Z 7STR	2016	diesel	manual	69342	1	1365000
13472546	Mumbai	auction	Ford	EcoSport	Titanium 1.5L Ti-VCT	2016	petrol	manual	56014	2	455000
25195121	Coimbatore	auction	Honda	Amaze	1.5 S MT Diesel	2020	diesel	manual	69135	1	580000
25094244	Bangalore	budget	Hyundai	i10	Sportz 1.1 iRDE2	2014	petrol	manual	78459	1	252000
15965676	Delhi	budget	Kia	Seltos	GTX Plus DCT	2020	petrol	automatic	95498	1	1022000
23462859	Bangalore	assured	Hyundai	Verna	SX (O) 1.5 Turbo Petrol DCT	2023	petrol	automatic	50800	1	1301000
23481971	Mumbai	budget	Kia	Seltos	GTX Plus 1.4	2022	petrol	manual	35727	1	1052000
23598488	Pune	assured	Hyundai	Elite i20	Magna Plus 1.4 CRDi	2019	diesel	manual	49814	1	565000
24062860	Lucknow	assured	Toyota	Urban Cruiser	High Grade MT	2022	petrol	manual	41449	1	587000
23798740	Mumbai	assured	Tata	Nexon	XZA Plus Diesel (L)	2022	diesel	automatic	16033	1	914000
24532912	Bangalore	budget	Maruti Suzuki	Ciaz	Zeta 1.3 Hybrid	2018	diesel	manual	54225	1	625000
24546156	Delhi	budget	Maruti Suzuki	Swift	VXi	2013	petrol	manual	40553	1	196000
24579196	Bangalore	assured	Honda	WR-V	VX MT Petrol	2019	petrol	manual	42733	1	545000
24256502	Jaipur	assured	Hyundai	Elite i20	Sportz 1.2	2015	petrol	manual	76468	1	320000
24205880	Bangalore	assured	Tata	Altroz	XZA Plus (S)	2023	petrol	automatic	25619	1	690000
24556452	Lucknow	assured	Honda	WR-V	SV MT Petrol	2021	petrol	manual	21970	1	535000
24298890	Hyderabad	assured	Nissan	Magnite	XV Turbo	2023	petrol	manual	27999	1	595000
24830324	Chennai	budget	Maruti Suzuki	Baleno	Alpha 1.2	2017	petrol	manual	87341	1	425000
